model_key,respondent_id,task_index,task_role,pair_id,manipulation_type,anchor_task_index,choice_label,choice_code,chosen_alternative_name,confidence,top_attribute_1,top_attribute_2,dominated_option_seen,semantic_labels,option_order,target_alternative_name,dominated_alternative_name,is_valid_task_response,duration_sec
deepseek_r1_8b,DS0001,1,core,CORE_1,core,-1,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,0.9716014
deepseek_r1_8b,DS0001,2,core,CORE_2,core,-1,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,11.8281346
deepseek_r1_8b,DS0001,3,core,CORE_3,core,-1,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,5.2300889
deepseek_r1_8b,DS0001,4,core,CORE_4,core,-1,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,8.6348492
deepseek_r1_8b,DS0001,5,core,CORE_5,core,-1,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,12.2261327
deepseek_r1_8b,DS0001,6,core,CORE_6,core,-1,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,13.4227646
deepseek_r1_8b,DS0001,7,core,CORE_7,core,-1,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,12.8642927
deepseek_r1_8b,DS0001,8,core,CORE_8,core,-1,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,13.6654294
deepseek_r1_8b,DS0001,9,label_mask_twin,LABEL_1,label_mask,1,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,6.0378584
deepseek_r1_8b,DS0001,10,label_mask_twin,LABEL_2,label_mask,2,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,7.9011972
deepseek_r1_8b,DS0001,11,order_twin,ORDER_1,order_randomization,3,A,2,SLOW_MODES,4,travel_time,cost,False,1,SLOW_MODES|PT|CAR,,,1,0.899948
deepseek_r1_8b,DS0001,12,order_twin,ORDER_2,order_randomization,4,A,1,CAR,4,travel_time,cost,False,1,CAR|PT|SLOW_MODES,,,1,0.9170252
deepseek_r1_8b,DS0001,13,monotonicity,MONO_1,monotonicity,5,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,CAR,,1,0.9130919
deepseek_r1_8b,DS0001,14,monotonicity,MONO_2,monotonicity,6,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,CAR,,1,0.9207538
deepseek_r1_8b,DS0001,15,dominance,DOM_1,dominance,7,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,PT,1,0.9088368
deepseek_r1_8b,DS0001,16,dominance,DOM_2,dominance,8,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,PT,1,0.9261309
deepseek_r1_8b,DS0002,1,core,CORE_1,core,-1,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,0.8385119
deepseek_r1_8b,DS0002,2,core,CORE_2,core,-1,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,0.850299
deepseek_r1_8b,DS0002,3,core,CORE_3,core,-1,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,0.8347145
deepseek_r1_8b,DS0002,4,core,CORE_4,core,-1,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,0.8261904
deepseek_r1_8b,DS0002,5,core,CORE_5,core,-1,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,0.8469397
deepseek_r1_8b,DS0002,6,core,CORE_6,core,-1,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,0.8597189
deepseek_r1_8b,DS0002,7,core,CORE_7,core,-1,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,0.8679123
deepseek_r1_8b,DS0002,8,core,CORE_8,core,-1,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,0.8717467
deepseek_r1_8b,DS0002,9,label_mask_twin,LABEL_1,label_mask,1,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,0.8702912
deepseek_r1_8b,DS0002,10,label_mask_twin,LABEL_2,label_mask,2,A,0,PT,4,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,0.8677837
deepseek_r1_8b,DS0002,11,order_twin,ORDER_1,order_randomization,3,A,2,SLOW_MODES,4,travel_time,cost,False,0,SLOW_MODES|PT|CAR,,,1,0.9816994
deepseek_r1_8b,DS0002,12,order_twin,ORDER_2,order_randomization,4,A,2,SLOW_MODES,4,travel_time,cost,False,0,SLOW_MODES|PT|CAR,,,1,0.9520588
deepseek_r1_8b,DS0002,13,monotonicity,MONO_1,monotonicity,5,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,CAR,,1,0.8933844
deepseek_r1_8b,DS0002,14,monotonicity,MONO_2,monotonicity,6,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,CAR,,1,0.8904178
deepseek_r1_8b,DS0002,15,dominance,DOM_1,dominance,7,A,0,PT,4,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,PT,1,0.8734585
