experiment_name,phase,respondent_id,persona_id,warmup_index,prompt,response_text,parsed_json,female,gender_text,age_band,age_years,income_band,metropolis,metropolis_text,household_cars,accessible_bikes,pt_pass,pt_pass_text,maas_subscription,maas_text
20260326_sd_persona_nonthink_qwen35_4b_v2,warmup_1,1,P001,1,"Warm-up 1. Confirm the respondent profile as this person. Return one line of JSON with keys: age_years, household_cars, accessible_bikes, pt_pass, maas_subscription.","{""age_years"":43,""household_cars"":2,""accessible_bikes"":4,""pt_pass"":false,""maas_subscription"":false}","{""age_years"": 43, ""household_cars"": 2, ""accessible_bikes"": 4, ""pt_pass"": false, ""maas_subscription"": false}",1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,warmup_2,1,P001,2,"Warm-up 2. Confirm everyday mobility resources for this same person. Return one line of JSON with keys: private_car_available, private_bike_available, public_transport_pass, maas_subscription. Use only the profile already given.","{""private_car_available"":true,""private_bike_available"":true,""public_transport_pass"":false,""maas_subscription"":false}","{""private_car_available"": true, ""private_bike_available"": true, ""public_transport_pass"": false, ""maas_subscription"": false}",1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,warmup_1,2,P002,1,"Warm-up 1. Confirm the respondent profile as this person. Return one line of JSON with keys: age_years, household_cars, accessible_bikes, pt_pass, maas_subscription.","{""age_years"":24,""household_cars"":0,""accessible_bikes"":1,""pt_pass"":false,""maas_subscription"":false}","{""age_years"": 24, ""household_cars"": 0, ""accessible_bikes"": 1, ""pt_pass"": false, ""maas_subscription"": false}",0,male,18_29,24,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,warmup_2,2,P002,2,"Warm-up 2. Confirm everyday mobility resources for this same person. Return one line of JSON with keys: private_car_available, private_bike_available, public_transport_pass, maas_subscription. Use only the profile already given.","{""private_car_available"":false,""private_bike_available"":true,""public_transport_pass"":false,""maas_subscription"":false}","{""private_car_available"": false, ""private_bike_available"": true, ""public_transport_pass"": false, ""maas_subscription"": false}",0,male,18_29,24,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,warmup_1,3,P003,1,"Warm-up 1. Confirm the respondent profile as this person. Return one line of JSON with keys: age_years, household_cars, accessible_bikes, pt_pass, maas_subscription.","{""age_years"":18,""household_cars"":1,""accessible_bikes"":4,""pt_pass"":false,""maas_subscription"":false}","{""age_years"": 18, ""household_cars"": 1, ""accessible_bikes"": 4, ""pt_pass"": false, ""maas_subscription"": false}",0,male,18_29,18,2000_3999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,warmup_2,3,P003,2,"Warm-up 2. Confirm everyday mobility resources for this same person. Return one line of JSON with keys: private_car_available, private_bike_available, public_transport_pass, maas_subscription. Use only the profile already given.","{""private_car_available"":true,""private_bike_available"":true,""public_transport_pass"":false,""maas_subscription"":false}","{""private_car_available"": true, ""private_bike_available"": true, ""public_transport_pass"": false, ""maas_subscription"": false}",0,male,18_29,18,2000_3999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,warmup_1,4,P004,1,"Warm-up 1. Confirm the respondent profile as this person. Return one line of JSON with keys: age_years, household_cars, accessible_bikes, pt_pass, maas_subscription.","{""age_years"":48,""household_cars"":2,""accessible_bikes"":4,""pt_pass"":false,""maas_subscription"":true}","{""age_years"": 48, ""household_cars"": 2, ""accessible_bikes"": 4, ""pt_pass"": false, ""maas_subscription"": true}",0,male,40_49,48,2000_3999_eur,1,metropolis,2,4,0,does not hold a public transport pass,1,has an active MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,warmup_2,4,P004,2,"Warm-up 2. Confirm everyday mobility resources for this same person. Return one line of JSON with keys: private_car_available, private_bike_available, public_transport_pass, maas_subscription. Use only the profile already given.","{""private_car_available"":true,""private_bike_available"":true,""public_transport_pass"":false,""maas_subscription"":true}","{""private_car_available"": true, ""private_bike_available"": true, ""public_transport_pass"": false, ""maas_subscription"": true}",0,male,40_49,48,2000_3999_eur,1,metropolis,2,4,0,does not hold a public transport pass,1,has an active MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,warmup_1,5,P005,1,"Warm-up 1. Confirm the respondent profile as this person. Return one line of JSON with keys: age_years, household_cars, accessible_bikes, pt_pass, maas_subscription.","{""age_years"":60,""household_cars"":0,""accessible_bikes"":1,""pt_pass"":true,""maas_subscription"":false}","{""age_years"": 60, ""household_cars"": 0, ""accessible_bikes"": 1, ""pt_pass"": true, ""maas_subscription"": false}",1,female,60_67,60,500_1999_eur,0,large city,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,warmup_2,5,P005,2,"Warm-up 2. Confirm everyday mobility resources for this same person. Return one line of JSON with keys: private_car_available, private_bike_available, public_transport_pass, maas_subscription. Use only the profile already given.","{""private_car_available"":false,""private_bike_available"":true,""public_transport_pass"":true,""maas_subscription"":false}","{""private_car_available"": false, ""private_bike_available"": true, ""public_transport_pass"": true, ""maas_subscription"": false}",1,female,60_67,60,500_1999_eur,0,large city,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
