experiment_name,persona_id,task_id,task_index,choice_label,chosen_alternative_id,chosen_alternative_name,is_valid_choice,female,gender_text,age_band,age_years,income_band,metropolis,metropolis_text,household_cars,accessible_bikes,pt_pass,pt_pass_text
20260326_sd_persona_nonthink_qwen35_4b_v1,P001,SD01,1,D,private_car,Private Car,1,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P001,SD02,2,D,private_car,Private Car,1,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P001,SD03,3,D,private_car,Private Car,1,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P001,SD04,4,D,private_car,Private Car,1,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P001,SD06,5,D,private_car,Private Car,1,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P002,SD01,1,D,private_car,Private Car,1,1,female,68_plus,68,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P002,SD02,2,D,private_car,Private Car,1,1,female,68_plus,68,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P002,SD03,3,D,private_car,Private Car,1,1,female,68_plus,68,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P002,SD04,4,D,private_car,Private Car,1,1,female,68_plus,68,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P002,SD06,5,D,private_car,Private Car,1,1,female,68_plus,68,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P003,SD01,1,B,bikesharing,Bike Sharing,1,1,female,50_59,50,lt_500_eur,0,large city,0,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P003,SD02,2,B,bikesharing,Bike Sharing,1,1,female,50_59,50,lt_500_eur,0,large city,0,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P003,SD03,3,B,bikesharing,Bike Sharing,1,1,female,50_59,50,lt_500_eur,0,large city,0,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P003,SD04,4,B,bikesharing,Bike Sharing,1,1,female,50_59,50,lt_500_eur,0,large city,0,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P003,SD06,5,B,bikesharing,Bike Sharing,1,1,female,50_59,50,lt_500_eur,0,large city,0,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P004,SD01,1,D,private_car,Private Car,1,0,male,50_59,51,4000_plus_eur,1,metropolis,2,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P004,SD02,2,D,private_car,Private Car,1,0,male,50_59,51,4000_plus_eur,1,metropolis,2,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P004,SD03,3,D,private_car,Private Car,1,0,male,50_59,51,4000_plus_eur,1,metropolis,2,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P004,SD04,4,D,private_car,Private Car,1,0,male,50_59,51,4000_plus_eur,1,metropolis,2,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P004,SD06,5,D,private_car,Private Car,1,0,male,50_59,51,4000_plus_eur,1,metropolis,2,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P005,SD01,1,D,private_car,Private Car,1,1,female,30_39,31,2000_3999_eur,0,large city,2,0,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P005,SD02,2,D,private_car,Private Car,1,1,female,30_39,31,2000_3999_eur,0,large city,2,0,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P005,SD03,3,D,private_car,Private Car,1,1,female,30_39,31,2000_3999_eur,0,large city,2,0,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P005,SD04,4,D,private_car,Private Car,1,1,female,30_39,31,2000_3999_eur,0,large city,2,0,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P005,SD06,5,D,private_car,Private Car,1,1,female,30_39,31,2000_3999_eur,0,large city,2,0,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P006,SD01,1,C,walking,Walking,1,1,female,60_67,60,500_1999_eur,0,large city,0,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P006,SD02,2,C,walking,Walking,1,1,female,60_67,60,500_1999_eur,0,large city,0,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P006,SD03,3,C,walking,Walking,1,1,female,60_67,60,500_1999_eur,0,large city,0,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P006,SD04,4,C,walking,Walking,1,1,female,60_67,60,500_1999_eur,0,large city,0,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P006,SD06,5,C,walking,Walking,1,1,female,60_67,60,500_1999_eur,0,large city,0,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P007,SD01,1,D,private_car,Private Car,1,0,male,40_49,44,4000_plus_eur,1,metropolis,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P007,SD02,2,D,private_car,Private Car,1,0,male,40_49,44,4000_plus_eur,1,metropolis,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P007,SD03,3,D,private_car,Private Car,1,0,male,40_49,44,4000_plus_eur,1,metropolis,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P007,SD04,4,D,private_car,Private Car,1,0,male,40_49,44,4000_plus_eur,1,metropolis,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P007,SD06,5,D,private_car,Private Car,1,0,male,40_49,44,4000_plus_eur,1,metropolis,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P008,SD01,1,D,private_car,Private Car,1,1,female,68_plus,75,lt_500_eur,1,metropolis,2,2,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P008,SD02,2,D,private_car,Private Car,1,1,female,68_plus,75,lt_500_eur,1,metropolis,2,2,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P008,SD03,3,D,private_car,Private Car,1,1,female,68_plus,75,lt_500_eur,1,metropolis,2,2,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P008,SD04,4,D,private_car,Private Car,1,1,female,68_plus,75,lt_500_eur,1,metropolis,2,2,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P008,SD06,5,D,private_car,Private Car,1,1,female,68_plus,75,lt_500_eur,1,metropolis,2,2,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P009,SD01,1,D,private_car,Private Car,1,0,male,68_plus,80,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P009,SD02,2,D,private_car,Private Car,1,0,male,68_plus,80,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P009,SD03,3,D,private_car,Private Car,1,0,male,68_plus,80,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P009,SD04,4,D,private_car,Private Car,1,0,male,68_plus,80,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P009,SD06,5,D,private_car,Private Car,1,0,male,68_plus,80,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P010,SD01,1,D,private_car,Private Car,1,0,male,50_59,58,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P010,SD02,2,D,private_car,Private Car,1,0,male,50_59,58,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P010,SD03,3,D,private_car,Private Car,1,0,male,50_59,58,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P010,SD04,4,D,private_car,Private Car,1,0,male,50_59,58,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P010,SD06,5,D,private_car,Private Car,1,0,male,50_59,58,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P011,SD01,1,D,private_car,Private Car,1,1,female,30_39,36,4000_plus_eur,1,metropolis,1,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P011,SD02,2,D,private_car,Private Car,1,1,female,30_39,36,4000_plus_eur,1,metropolis,1,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P011,SD03,3,D,private_car,Private Car,1,1,female,30_39,36,4000_plus_eur,1,metropolis,1,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P011,SD04,4,D,private_car,Private Car,1,1,female,30_39,36,4000_plus_eur,1,metropolis,1,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P011,SD06,5,D,private_car,Private Car,1,1,female,30_39,36,4000_plus_eur,1,metropolis,1,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P012,SD01,1,C,walking,Walking,1,1,female,30_39,39,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P012,SD02,2,C,walking,Walking,1,1,female,30_39,39,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P012,SD03,3,C,walking,Walking,1,1,female,30_39,39,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P012,SD04,4,C,walking,Walking,1,1,female,30_39,39,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P012,SD06,5,C,walking,Walking,1,1,female,30_39,39,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P013,SD01,1,D,private_car,Private Car,1,0,male,40_49,40,2000_3999_eur,0,large city,2,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P013,SD02,2,D,private_car,Private Car,1,0,male,40_49,40,2000_3999_eur,0,large city,2,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P013,SD03,3,D,private_car,Private Car,1,0,male,40_49,40,2000_3999_eur,0,large city,2,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P013,SD04,4,D,private_car,Private Car,1,0,male,40_49,40,2000_3999_eur,0,large city,2,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P013,SD06,5,D,private_car,Private Car,1,0,male,40_49,40,2000_3999_eur,0,large city,2,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P014,SD01,1,C,walking,Walking,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P014,SD02,2,C,walking,Walking,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P014,SD03,3,C,walking,Walking,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P014,SD04,4,C,walking,Walking,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P014,SD06,5,C,walking,Walking,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P015,SD01,1,D,private_car,Private Car,1,0,male,18_29,27,500_1999_eur,0,large city,2,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P015,SD02,2,D,private_car,Private Car,1,0,male,18_29,27,500_1999_eur,0,large city,2,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P015,SD03,3,D,private_car,Private Car,1,0,male,18_29,27,500_1999_eur,0,large city,2,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P015,SD04,4,D,private_car,Private Car,1,0,male,18_29,27,500_1999_eur,0,large city,2,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P015,SD06,5,D,private_car,Private Car,1,0,male,18_29,27,500_1999_eur,0,large city,2,1,0,does not hold a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P016,SD01,1,B,bikesharing,Bike Sharing,1,1,female,60_67,67,4000_plus_eur,0,large city,0,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P016,SD02,2,B,bikesharing,Bike Sharing,1,1,female,60_67,67,4000_plus_eur,0,large city,0,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P016,SD03,3,B,bikesharing,Bike Sharing,1,1,female,60_67,67,4000_plus_eur,0,large city,0,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P016,SD04,4,B,bikesharing,Bike Sharing,1,1,female,60_67,67,4000_plus_eur,0,large city,0,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P016,SD06,5,B,bikesharing,Bike Sharing,1,1,female,60_67,67,4000_plus_eur,0,large city,0,2,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P017,SD01,1,D,private_car,Private Car,1,0,male,60_67,65,500_1999_eur,1,metropolis,2,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P017,SD02,2,D,private_car,Private Car,1,0,male,60_67,65,500_1999_eur,1,metropolis,2,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P017,SD03,3,D,private_car,Private Car,1,0,male,60_67,65,500_1999_eur,1,metropolis,2,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P017,SD04,4,D,private_car,Private Car,1,0,male,60_67,65,500_1999_eur,1,metropolis,2,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P017,SD06,5,D,private_car,Private Car,1,0,male,60_67,65,500_1999_eur,1,metropolis,2,1,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P018,SD01,1,C,walking,Walking,1,0,male,68_plus,70,500_1999_eur,0,large city,0,3,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P018,SD02,2,C,walking,Walking,1,0,male,68_plus,70,500_1999_eur,0,large city,0,3,1,holds a public transport pass
20260326_sd_persona_nonthink_qwen35_4b_v1,P018,SD03,3,C,walking,Walking,1,0,male,68_plus,70,500_1999_eur,0,large city,0,3,1,holds a public transport pass
