model_key,respondent_id,block_template_id,run_repeat,human_respondent_id,human_id,normalized_weight,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,task_index,task_role,pair_id,manipulation_type,anchor_task_index,is_utility_equivalent_intervention,semantic_labels,option_order,display_A_alt,display_B_alt,display_C_alt,paraphrase_variant,scenario_id,complexity_score,CAR_AVAILABLE,TimePT,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,TimeCar_scaled,CostCarCHF_scaled,distance_km_scaled,target_alternative_name,dominated_alternative_name,dominance_reason
deepseek_r1_8b,DS0001_R1,DST0001,1,H0497,54261409,2.029711386372872,semantic_arm,1,naturalistic,1,1,core,CORE_1,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0007,0.2291825821237586,1,180.0,41.0,26.4,45.0,6.35,44.5,0.9,0.6833333333333333,2.64,0.225,0.635,8.9,,,
deepseek_r1_8b,DS0001_R1,DST0001,1,H0497,54261409,2.029711386372872,semantic_arm,1,naturalistic,1,2,core,CORE_2,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0378,0.21660649819494582,0,70.0,14.0,0.0,26.0,2.75,21.0,0.35,0.2333333333333333,0.0,0.13,0.275,4.2,,,
deepseek_r1_8b,DS0001_R1,DST0001,1,H0497,54261409,2.029711386372872,semantic_arm,1,naturalistic,1,3,core,CORE_3,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0685,0.2570694087403599,1,275.0,57.0,18.3,71.0,9.1,58.0,1.375,0.95,1.83,0.355,0.91,11.6,,,
deepseek_r1_8b,DS0001_R1,DST0001,1,H0497,54261409,2.029711386372872,semantic_arm,1,naturalistic,1,4,core,CORE_4,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0371,0.880281690140845,1,54.0,0.0,2.2,22.0,2.44,18.5,0.27,0.0,0.22,0.11,0.244,3.7,,,
deepseek_r1_8b,DS0001_R1,DST0001,1,H0497,54261409,2.029711386372872,semantic_arm,1,naturalistic,1,5,core,CORE_5,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0383,0.5595970900951315,1,96.0,18.0,4.4,27.0,2.98,19.0,0.48,0.3,0.44,0.135,0.298,3.8,,,
deepseek_r1_8b,DS0001_R1,DST0001,1,H0497,54261409,2.029711386372872,semantic_arm,1,naturalistic,1,6,core,CORE_6,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0328,0.32,0,55.0,0.0,5.0,26.0,2.54,14.5,0.275,0.0,0.5,0.13,0.254,2.9,,,
deepseek_r1_8b,DS0001_R1,DST0001,1,H0497,54261409,2.029711386372872,semantic_arm,1,naturalistic,1,7,paraphrase_twin,PARA_1,paraphrase,1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,alternate,S0007,0.2291825821237586,1,180.0,41.0,26.4,45.0,6.35,44.5,0.9,0.6833333333333333,2.64,0.225,0.635,8.9,,,
deepseek_r1_8b,DS0001_R1,DST0001,1,H0497,54261409,2.029711386372872,semantic_arm,1,naturalistic,1,8,paraphrase_twin,PARA_2,paraphrase,2,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,alternate,S0378,0.21660649819494582,0,70.0,14.0,0.0,26.0,2.75,21.0,0.35,0.2333333333333333,0.0,0.13,0.275,4.2,,,
deepseek_r1_8b,DS0001_R1,DST0001,1,H0497,54261409,2.029711386372872,semantic_arm,1,naturalistic,1,9,label_mask_twin,LABEL_1,label_mask,3,0,0,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0685,0.2570694087403599,1,275.0,57.0,18.3,71.0,9.1,58.0,1.375,0.95,1.83,0.355,0.91,11.6,,,
deepseek_r1_8b,DS0001_R1,DST0001,1,H0497,54261409,2.029711386372872,semantic_arm,1,naturalistic,1,10,label_mask_twin,LABEL_2,label_mask,4,0,0,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0371,0.880281690140845,1,54.0,0.0,2.2,22.0,2.44,18.5,0.27,0.0,0.22,0.11,0.244,3.7,,,
