model_key,block_template_id,task_index,task_role,pair_id,manipulation_type,n_repeats,exact_repeat_flip_rate,response_entropy
mlx_qwen35_0p8b,Q8T0001,1,core,CORE_1,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,2,core,CORE_2,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,3,core,CORE_3,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,4,core,CORE_4,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,5,core,CORE_5,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,6,core,CORE_6,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,15,dominance,DOM_1,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0001,16,dominance,DOM_2,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,1,core,CORE_1,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,2,core,CORE_2,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,3,core,CORE_3,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,4,core,CORE_4,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,5,core,CORE_5,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,6,core,CORE_6,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,15,dominance,DOM_1,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0002,16,dominance,DOM_2,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,1,core,CORE_1,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,2,core,CORE_2,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,3,core,CORE_3,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,4,core,CORE_4,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,5,core,CORE_5,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,6,core,CORE_6,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,15,dominance,DOM_1,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0003,16,dominance,DOM_2,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,1,core,CORE_1,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,2,core,CORE_2,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,3,core,CORE_3,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,4,core,CORE_4,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,5,core,CORE_5,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,6,core,CORE_6,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,15,dominance,DOM_1,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0004,16,dominance,DOM_2,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,1,core,CORE_1,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,2,core,CORE_2,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,3,core,CORE_3,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,4,core,CORE_4,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,5,core,CORE_5,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,6,core,CORE_6,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,15,dominance,DOM_1,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0005,16,dominance,DOM_2,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,1,core,CORE_1,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,2,core,CORE_2,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,3,core,CORE_3,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,4,core,CORE_4,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,5,core,CORE_5,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,6,core,CORE_6,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,15,dominance,DOM_1,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0006,16,dominance,DOM_2,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,1,core,CORE_1,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,2,core,CORE_2,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,3,core,CORE_3,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,4,core,CORE_4,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,5,core,CORE_5,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,6,core,CORE_6,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,15,dominance,DOM_1,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0007,16,dominance,DOM_2,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,1,core,CORE_1,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,2,core,CORE_2,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,3,core,CORE_3,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,4,core,CORE_4,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,5,core,CORE_5,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,6,core,CORE_6,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,15,dominance,DOM_1,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0008,16,dominance,DOM_2,dominance,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,1,core,CORE_1,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,2,core,CORE_2,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,3,core,CORE_3,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,4,core,CORE_4,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,5,core,CORE_5,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,6,core,CORE_6,core,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
mlx_qwen35_0p8b,Q8T0009,15,dominance,DOM_1,dominance,4,0.0,-0.0
