GROUP,SURVEY,SP,ID,respondent_id,persona_id,source_profile_id,sampled_template_id,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE,custom_id,task_position,task_id,TRAIN_COST_SCALED,SM_COST_SCALED,CAR_COST_SCALED,TRAIN_TIME_SCALED,SM_TIME_SCALED,CAR_TIME_SCALED,chosen_alternative_name,sex_text,age_text,income_text,ga_text,car_av_text,luggage_text,purpose_text,first_class_text,ticket_text,who_text,origin_text,dest_text,survey_text
2,0,1,1,AI0001,AI0001,318,S0_TPL032,3,0,6,1,1,5,1,2,1,2,22,1,1,1,70,0,30,37,0,10,0,40,48,0,1,1,AI0001_T01,0.0,0.0,0.48,0.7,0.37,0.4,,male,age code 5,income code 2,has a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 6,payer code 1,origin zone code 2,destination zone code 22,survey stratum 0
2,0,1,1,AI0001,AI0001,318,S0_TPL032,3,0,6,1,1,5,1,2,1,2,22,1,1,1,70,0,120,34,0,10,1,52,78,0,2,2,AI0001_T02,0.0,0.0,0.78,0.7,0.34,0.52,,male,age code 5,income code 2,has a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 6,payer code 1,origin zone code 2,destination zone code 22,survey stratum 0
2,0,1,1,AI0001,AI0001,318,S0_TPL032,3,0,6,1,1,5,1,2,1,2,22,1,1,1,70,0,30,31,0,20,0,52,60,0,3,3,AI0001_T03,0.0,0.0,0.6,0.7,0.31,0.52,,male,age code 5,income code 2,has a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 6,payer code 1,origin zone code 2,destination zone code 22,survey stratum 0
2,0,1,1,AI0001,AI0001,318,S0_TPL032,3,0,6,1,1,5,1,2,1,2,22,1,1,1,52,0,60,31,0,30,1,32,78,0,4,4,AI0001_T04,0.0,0.0,0.78,0.52,0.31,0.32,,male,age code 5,income code 2,has a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 6,payer code 1,origin zone code 2,destination zone code 22,survey stratum 0
2,0,1,1,AI0001,AI0001,318,S0_TPL032,3,0,6,1,1,5,1,2,1,2,22,1,1,1,58,0,30,31,0,30,1,52,48,0,5,5,AI0001_T05,0.0,0.0,0.48,0.58,0.31,0.52,,male,age code 5,income code 2,has a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 6,payer code 1,origin zone code 2,destination zone code 22,survey stratum 0
2,0,1,1,AI0001,AI0001,318,S0_TPL032,3,0,6,1,1,5,1,2,1,2,22,1,1,1,58,0,30,34,0,10,1,32,60,0,6,6,AI0001_T06,0.0,0.0,0.6,0.58,0.34,0.32,,male,age code 5,income code 2,has a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 6,payer code 1,origin zone code 2,destination zone code 22,survey stratum 0
2,0,1,1,AI0001,AI0001,318,S0_TPL032,3,0,6,1,1,5,1,2,1,2,22,1,1,1,58,0,60,31,0,20,0,32,48,0,7,7,AI0001_T07,0.0,0.0,0.48,0.58,0.31,0.32,,male,age code 5,income code 2,has a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 6,payer code 1,origin zone code 2,destination zone code 22,survey stratum 0
2,0,1,1,AI0001,AI0001,318,S0_TPL032,3,0,6,1,1,5,1,2,1,2,22,1,1,1,70,0,30,34,0,30,0,32,78,0,8,8,AI0001_T08,0.0,0.0,0.78,0.7,0.34,0.32,,male,age code 5,income code 2,has a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 6,payer code 1,origin zone code 2,destination zone code 22,survey stratum 0
2,0,1,1,AI0001,AI0001,318,S0_TPL032,3,0,6,1,1,5,1,2,1,2,22,1,1,1,58,0,60,34,0,30,0,40,60,0,9,9,AI0001_T09,0.0,0.0,0.6,0.58,0.34,0.4,,male,age code 5,income code 2,has a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 6,payer code 1,origin zone code 2,destination zone code 22,survey stratum 0
3,1,1,2,AI0002,AI0002,580,S1_TPL001,3,0,1,2,1,2,1,2,0,17,2,1,1,1,222,59,120,128,55,30,0,180,95,0,10,1,AI0002_T01,0.59,0.55,0.95,2.22,1.28,1.8,,male,age code 2,income code 2,does not have a GA travelcard,car is available for this trip,luggage code 1,purpose code 3,second class,ticket category code 1,payer code 2,origin zone code 17,destination zone code 2,survey stratum 1
