model_key,model_is_deepseek,respondent_id,block_template_id,run_repeat,human_respondent_id,normalized_weight,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,task_index,task_role,pair_id,manipulation_type,anchor_task_index,block_complexity_mean,age_30_less,high_education,ScaledIncome,CAR_AVAILABLE,alternative_name,alternative_code,display_label,display_position,chosen,observed_choice_code,is_valid_task_response,alt_available,alt_time,alt_waiting,alt_cost,alt_distance,target_alternative_name,dominated_alternative_name
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,1,core,CORE_1,core,-1,0.4104562115491734,1,0,2.0,1,PT,0,A,1,1,0,1,1,180.0,41.0,26.4,0.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,1,core,CORE_1,core,-1,0.4104562115491734,1,0,2.0,1,CAR,1,B,2,0,0,1,1,45.0,0.0,6.35,0.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,1,core,CORE_1,core,-1,0.4104562115491734,1,0,2.0,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,44.5,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,2,core,CORE_2,core,-1,0.4104562115491734,1,0,2.0,0,PT,0,A,1,1,0,1,1,70.0,14.0,0.0,0.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,2,core,CORE_2,core,-1,0.4104562115491734,1,0,2.0,0,CAR,1,B,2,0,0,1,0,26.0,0.0,2.75,0.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,2,core,CORE_2,core,-1,0.4104562115491734,1,0,2.0,0,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,21.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,3,core,CORE_3,core,-1,0.4104562115491734,1,0,2.0,1,PT,0,A,1,1,0,1,1,275.0,57.0,18.3,0.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,3,core,CORE_3,core,-1,0.4104562115491734,1,0,2.0,1,CAR,1,B,2,0,0,1,1,71.0,0.0,9.1,0.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,3,core,CORE_3,core,-1,0.4104562115491734,1,0,2.0,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,58.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,4,core,CORE_4,core,-1,0.4104562115491734,1,0,2.0,1,PT,0,A,1,1,0,1,1,54.0,0.0,2.2,0.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,4,core,CORE_4,core,-1,0.4104562115491734,1,0,2.0,1,CAR,1,B,2,0,0,1,1,22.0,0.0,2.44,0.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,4,core,CORE_4,core,-1,0.4104562115491734,1,0,2.0,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,18.5,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,5,core,CORE_5,core,-1,0.4104562115491734,1,0,2.0,1,PT,0,A,1,1,0,1,1,96.0,18.0,4.4,0.0,,
deepseek_r1_8b,1,DS0001_R1,DST0001,1,H0497,2.029711386372872,semantic_arm,1,naturalistic,1,5,core,CORE_5,core,-1,0.4104562115491734,1,0,2.0,1,CAR,1,B,2,0,0,1,1,27.0,0.0,2.98,0.0,,
