run_label,run_id,synthetic_respondent_id,persona_id,source_profile_id,source_baseline_id,survey_stratum,survey_text,group_code,purpose_code,purpose_text,first_class,first_class_text,ticket_code,ticket_text,who_code,who_text,luggage_code,luggage_text,age_code,age_text,male,sex_text,income_code,income_text,ga,ga_text,origin_code,origin_text,dest_code,dest_text,car_av,car_av_text,template_id,generated_at_utc,anchor_train_time,anchor_train_cost,anchor_sm_time,anchor_sm_cost,anchor_car_time,anchor_car_cost
ai_run_03,3,1,SMAI03_0001,371,248,0,survey stratum 0,2,3,purpose code 3,1,first class,6,ticket category code 6,1,payer code 1,1,luggage code 1,4,age code 4,1,male,3,income code 3,1,has a GA travelcard,2,origin zone code 2,1,destination zone code 1,0,car is not available for this trip,S0_TPL002,2026-03-28T20:43:11.368933+00:00,84,0,60,0,0,0
ai_run_03,3,2,SMAI03_0002,655,875,1,survey stratum 1,3,3,purpose code 3,0,second class,6,ticket category code 6,1,payer code 1,1,luggage code 1,4,age code 4,1,male,3,income code 3,0,does not have a GA travelcard,1,origin zone code 1,22,destination zone code 22,1,car is available for this trip,S1_TPL012,2026-03-28T20:43:11.369935+00:00,107,136,58,155,100,55
ai_run_03,3,3,SMAI03_0003,637,757,1,survey stratum 1,3,3,purpose code 3,0,second class,3,ticket category code 3,2,payer code 2,1,luggage code 1,3,age code 3,1,male,2,income code 2,0,does not have a GA travelcard,2,origin zone code 2,1,destination zone code 1,1,car is available for this trip,S1_TPL021,2026-03-28T20:43:11.370935+00:00,237,99,133,120,200,110
ai_run_03,3,4,SMAI03_0004,889,842,1,survey stratum 1,3,3,purpose code 3,1,first class,3,ticket category code 3,2,payer code 2,0,no luggage,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,17,origin zone code 17,2,destination zone code 2,1,car is available for this trip,S1_TPL004,2026-03-28T20:43:11.371935+00:00,125,136,49,155,120,80
ai_run_03,3,5,SMAI03_0005,557,682,1,survey stratum 1,3,3,purpose code 3,0,second class,1,ticket category code 1,2,payer code 2,0,no luggage,2,age code 2,1,male,2,income code 2,0,does not have a GA travelcard,2,origin zone code 2,17,destination zone code 17,1,car is available for this trip,S1_TPL006,2026-03-28T20:43:11.372944+00:00,214,109,85,138,230,150
ai_run_03,3,6,SMAI03_0006,909,543,1,survey stratum 1,3,3,purpose code 3,1,first class,3,ticket category code 3,2,payer code 2,1,luggage code 1,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,2,origin zone code 2,17,destination zone code 17,1,car is available for this trip,S1_TPL003,2026-03-28T20:43:11.373938+00:00,164,52,56,64,170,105
ai_run_03,3,7,SMAI03_0007,789,727,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,1,luggage code 1,3,age code 3,1,male,2,income code 2,0,does not have a GA travelcard,17,origin zone code 17,13,destination zone code 13,1,car is available for this trip,S1_TPL056,2026-03-28T20:43:11.375941+00:00,269,105,166,122,190,115
ai_run_03,3,8,SMAI03_0008,861,553,1,survey stratum 1,3,3,purpose code 3,1,first class,3,ticket category code 3,2,payer code 2,0,no luggage,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,1,origin zone code 1,2,destination zone code 2,1,car is available for this trip,S1_TPL019,2026-03-28T20:43:11.376939+00:00,196,53,88,64,170,105
ai_run_03,3,9,SMAI03_0009,275,288,0,survey stratum 0,2,3,purpose code 3,0,second class,3,ticket category code 3,1,payer code 1,1,luggage code 1,1,age code 1,0,female,1,income code 1,0,does not have a GA travelcard,17,origin zone code 17,1,destination zone code 1,0,car is not available for this trip,S0_TPL001,2026-03-28T20:43:11.377642+00:00,219,74,90,90,0,0
ai_run_03,3,10,SMAI03_0010,762,747,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,1,luggage code 1,3,age code 3,1,male,2,income code 2,0,does not have a GA travelcard,22,origin zone code 22,2,destination zone code 2,1,car is available for this trip,S1_TPL032,2026-03-28T20:43:11.379154+00:00,110,68,55,78,110,85
ai_run_03,3,11,SMAI03_0011,753,766,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,1,luggage code 1,2,age code 2,0,female,2,income code 2,0,does not have a GA travelcard,1,origin zone code 1,2,destination zone code 2,1,car is available for this trip,S1_TPL059,2026-03-28T20:43:11.381168+00:00,124,71,69,82,90,55
ai_run_03,3,12,SMAI03_0012,745,818,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,0,no luggage,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,17,origin zone code 17,2,destination zone code 2,1,car is available for this trip,S1_TPL002,2026-03-28T20:43:11.382170+00:00,188,94,80,117,170,115
ai_run_03,3,13,SMAI03_0013,788,848,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,1,luggage code 1,2,age code 2,1,male,3,income code 3,0,does not have a GA travelcard,17,origin zone code 17,2,destination zone code 2,1,car is available for this trip,S1_TPL133,2026-03-28T20:43:11.384167+00:00,195,184,87,237,150,80
ai_run_03,3,14,SMAI03_0014,83,9,0,survey stratum 0,2,1,purpose code 1,1,first class,5,ticket category code 5,2,payer code 2,1,luggage code 1,2,age code 2,0,female,4,income code 4,0,does not have a GA travelcard,2,origin zone code 2,17,destination zone code 17,1,car is available for this trip,S0_TPL111,2026-03-28T20:43:11.387166+00:00,102,24,49,30,60,40
ai_run_03,3,15,SMAI03_0015,780,766,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,1,luggage code 1,4,age code 4,1,male,2,income code 2,0,does not have a GA travelcard,2,origin zone code 2,18,destination zone code 18,1,car is available for this trip,S1_TPL008,2026-03-28T20:43:11.387166+00:00,124,71,69,82,90,55
ai_run_03,3,16,SMAI03_0016,582,703,1,survey stratum 1,3,3,purpose code 3,0,second class,1,ticket category code 1,2,payer code 2,1,luggage code 1,4,age code 4,1,male,2,income code 2,0,does not have a GA travelcard,22,origin zone code 22,1,destination zone code 1,1,car is available for this trip,S1_TPL002,2026-03-28T20:43:11.388671+00:00,293,109,197,133,220,125
ai_run_03,3,17,SMAI03_0017,304,22,0,survey stratum 0,2,3,purpose code 3,0,second class,6,ticket category code 6,1,payer code 1,1,luggage code 1,1,age code 1,1,male,1,income code 1,1,has a GA travelcard,22,origin zone code 22,25,destination zone code 25,1,car is available for this trip,S0_TPL003,2026-03-28T20:43:11.388671+00:00,94,0,39,0,70,45
ai_run_03,3,18,SMAI03_0018,753,574,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,1,luggage code 1,2,age code 2,0,female,2,income code 2,0,does not have a GA travelcard,1,origin zone code 1,2,destination zone code 2,1,car is available for this trip,S1_TPL022,2026-03-28T20:43:11.389678+00:00,105,36,50,46,80,65
ai_run_03,3,19,SMAI03_0019,353,61,0,survey stratum 0,2,3,purpose code 3,1,first class,1,ticket category code 1,1,payer code 1,1,luggage code 1,3,age code 3,0,female,4,income code 4,0,does not have a GA travelcard,23,origin zone code 23,1,destination zone code 1,1,car is available for this trip,S0_TPL182,2026-03-28T20:43:11.392681+00:00,203,17,90,22,160,115
ai_run_03,3,20,SMAI03_0020,802,771,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,3,payer code 3,0,no luggage,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,1,origin zone code 1,25,destination zone code 25,1,car is available for this trip,S1_TPL006,2026-03-28T20:43:11.393681+00:00,159,78,116,92,160,80
ai_run_03,3,21,SMAI03_0021,503,617,1,survey stratum 1,3,1,purpose code 1,1,first class,3,ticket category code 3,2,payer code 2,0,no luggage,4,age code 4,1,male,3,income code 3,0,does not have a GA travelcard,22,origin zone code 22,19,destination zone code 19,1,car is available for this trip,S1_TPL050,2026-03-28T20:43:11.394683+00:00,104,76,49,90,90,60
