model_key,respondent_id,block_template_id,run_repeat,human_respondent_id,human_id,normalized_weight,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,task_index,task_role,pair_id,manipulation_type,anchor_task_index,is_utility_equivalent_intervention,semantic_labels,option_order,display_A_alt,display_B_alt,display_C_alt,paraphrase_variant,scenario_id,complexity_score,CAR_AVAILABLE,TimePT,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,TimeCar_scaled,CostCarCHF_scaled,distance_km_scaled,target_alternative_name,dominated_alternative_name,dominance_reason
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,1,core,CORE_1,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0130,0.9107468123861566,1,15.0,0.0,0.0,10.0,1.23,7.0,0.075,0.0,0.0,0.05,0.123,1.4,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,2,core,CORE_2,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0614,0.4357298474945534,1,63.0,9.0,12.4,24.0,2.71,15.0,0.315,0.15,1.24,0.12,0.271,3.0,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,3,core,CORE_3,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0645,0.6350550381033023,1,115.0,10.0,6.4,48.0,5.67,35.0,0.575,0.1666666666666666,0.64,0.24,0.567,7.0,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,4,core,CORE_4,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0320,0.5188516084399862,1,123.0,14.0,9.6,44.0,6.61,46.0,0.615,0.2333333333333333,0.96,0.22,0.661,9.2,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,5,core,CORE_5,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0248,0.15530361857431277,1,228.0,24.0,0.0,299.0,54.84,428.5,1.14,0.4,0.0,1.495,5.484,85.7,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,6,core,CORE_6,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0292,0.29949086552860144,1,144.0,15.0,25.0,68.0,7.91,54.0,0.72,0.25,2.5,0.34,0.791,10.8,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,7,paraphrase_twin,PARA_1,paraphrase,1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,alternate,S0130,0.9107468123861566,1,15.0,0.0,0.0,10.0,1.23,7.0,0.075,0.0,0.0,0.05,0.123,1.4,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,8,paraphrase_twin,PARA_2,paraphrase,2,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,alternate,S0614,0.4357298474945534,1,63.0,9.0,12.4,24.0,2.71,15.0,0.315,0.15,1.24,0.12,0.271,3.0,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,9,label_mask_twin,LABEL_1,label_mask,3,0,0,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0645,0.6350550381033023,1,115.0,10.0,6.4,48.0,5.67,35.0,0.575,0.1666666666666666,0.64,0.24,0.567,7.0,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,10,label_mask_twin,LABEL_2,label_mask,4,0,0,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0320,0.5188516084399862,1,123.0,14.0,9.6,44.0,6.61,46.0,0.615,0.2333333333333333,0.96,0.22,0.661,9.2,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,11,order_twin,ORDER_1,order_randomization,5,0,1,SLOW_MODES|PT|CAR,SLOW_MODES,PT,CAR,default,S0248,0.15530361857431277,1,228.0,24.0,0.0,299.0,54.84,428.5,1.14,0.4,0.0,1.495,5.484,85.7,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,12,order_twin,ORDER_2,order_randomization,6,0,1,CAR|PT|SLOW_MODES,CAR,PT,SLOW_MODES,default,S0292,0.29949086552860144,1,144.0,15.0,25.0,68.0,7.91,54.0,0.72,0.25,2.5,0.34,0.791,10.8,,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,13,monotonicity,MONO_1,monotonicity,1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0130,0.9107468123861566,1,18.75,0.0,0.0,10.0,1.23,7.0,0.09375,0.0,0.0,0.05,0.123,1.4,PT,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,14,monotonicity,MONO_2,monotonicity,2,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0614,0.4357298474945534,1,63.0,9.0,12.4,30.0,3.3875,15.0,0.315,0.15,1.24,0.15,0.33875,3.0,CAR,,
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,15,dominance,DOM_1,dominance,3,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0645,0.6350550381033023,1,115.0,10.0,11.67,48.0,5.67,35.0,0.575,0.16666666666666666,1.167,0.24,0.567,7.0,,PT,PT is clearly worse than CAR on the displayed burden attributes.
deepseek_chat,DS0001_R1,DST0001,1,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,16,dominance,DOM_2,dominance,4,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0320,0.5188516084399862,1,123.0,14.0,12.61,44.0,6.61,46.0,0.615,0.23333333333333334,1.261,0.22,0.661,9.2,,PT,PT is clearly worse than CAR on the displayed burden attributes.
deepseek_chat,DS0001_R2,DST0001,2,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,1,core,CORE_1,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0130,0.9107468123861566,1,15.0,0.0,0.0,10.0,1.23,7.0,0.075,0.0,0.0,0.05,0.123,1.4,,,
deepseek_chat,DS0001_R2,DST0001,2,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,2,core,CORE_2,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0614,0.4357298474945534,1,63.0,9.0,12.4,24.0,2.71,15.0,0.315,0.15,1.24,0.12,0.271,3.0,,,
deepseek_chat,DS0001_R2,DST0001,2,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,3,core,CORE_3,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0645,0.6350550381033023,1,115.0,10.0,6.4,48.0,5.67,35.0,0.575,0.1666666666666666,0.64,0.24,0.567,7.0,,,
deepseek_chat,DS0001_R2,DST0001,2,H0539,54441132,2.256576028779217,semantic_arm,1,concise,0,4,core,CORE_4,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0320,0.5188516084399862,1,123.0,14.0,9.6,44.0,6.61,46.0,0.615,0.2333333333333333,0.96,0.22,0.661,9.2,,,
