respondent_id,persona_id,synthetic_numeric_id,source_profile_id,sampled_template_id,sampled_baseline_source_human_id,ID,GROUP,SURVEY,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,CAR_AV,task_count,persona_source,purpose_text,first_class_text,ticket_text,who_text,luggage_text,age_text,sex_text,income_text,ga_text,origin_text,dest_text,survey_text,car_av_text
AI0001,AI0001,1,318,S0_TPL032,390,318,2,0,3,0,6,1,1,5,1,2,1,2,22,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 6,payer code 1,luggage code 1,age code 5,male,income code 2,has a GA travelcard,origin zone code 2,destination zone code 22,survey stratum 0,car is available for this trip
AI0002,AI0002,2,580,S1_TPL001,561,580,3,1,3,0,1,2,1,2,1,2,0,17,2,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 1,car is available for this trip
AI0003,AI0003,3,784,S1_TPL054,485,784,3,1,3,1,1,2,1,4,1,3,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,luggage code 1,age code 4,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0004,AI0004,4,739,S1_TPL019,912,739,3,1,3,1,1,2,0,2,0,3,0,3,22,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 2,female,income code 3,does not have a GA travelcard,origin zone code 3,destination zone code 22,survey stratum 1,car is available for this trip
AI0005,AI0005,5,261,S0_TPL017,234,261,2,0,3,0,1,1,3,4,1,1,0,25,22,0,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 1,luggage code 3,age code 4,male,income code 1,does not have a GA travelcard,origin zone code 25,destination zone code 22,survey stratum 0,car is not available for this trip
AI0006,AI0006,6,593,S1_TPL033,911,593,3,1,3,0,3,0,0,2,1,0,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 0,no luggage,age code 2,male,income code 0,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0007,AI0007,7,706,S1_TPL008,644,706,3,1,3,1,1,2,0,3,1,3,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,first class,ticket category code 1,payer code 2,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0008,AI0008,8,631,S1_TPL019,462,631,3,1,3,0,3,2,1,2,1,2,0,22,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 22,destination zone code 1,survey stratum 1,car is available for this trip
AI0009,AI0009,9,239,S0_TPL002,80,239,2,0,3,0,1,1,1,4,0,2,0,22,25,0,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 1,luggage code 1,age code 4,female,income code 2,does not have a GA travelcard,origin zone code 22,destination zone code 25,survey stratum 0,car is not available for this trip
AI0010,AI0010,10,7,S0_TPL164,366,7,2,0,1,0,1,1,1,3,1,1,0,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 1,luggage code 1,age code 3,male,income code 1,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
AI0011,AI0011,11,648,S1_TPL108,445,648,3,1,3,0,3,2,1,4,1,3,0,2,1,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 3,payer code 2,luggage code 1,age code 4,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 1,car is available for this trip
AI0012,AI0012,12,590,S1_TPL011,849,590,3,1,3,0,1,3,1,3,1,3,0,2,20,1,9,empirical_cleaned_profile,purpose code 3,second class,ticket category code 1,payer code 3,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 20,survey stratum 1,car is available for this trip
